"","Date","HomeTeam","AwayTeam","result","HomeTeam_elo","AwayTeam_elo"
"85","29/11/2020","Milan","Fiorentina",1,1795.27433068357,1615.20007760742
"86","29/11/2020","Cagliari","Spezia",0.5,1584.95283401931,1515.75351178071
"87","29/11/2020","Napoli","Roma",1,1767.60684164695,1770.37274234748
"88","30/11/2020","Torino","Sampdoria",0.5,1561.08541509238,1589.44986474571
"89","30/11/2020","Genoa","Parma",0,1526.91528925493,1565.08119089907
"90","05/12/2020","Spezia","Lazio",0,1517.71930297757,1718.2016299963
"91","05/12/2020","Juventus","Torino",1,1819.2704252559,1561.90000064533
"92","05/12/2020","Inter","Bologna",1,1837.53576601015,1585.84534068892
"93","06/12/2020","Verona","Cagliari",0.5,1583.18196111764,1582.98704282244
"94","06/12/2020","Parma","Benevento",0.5,1573.9870852997,1562.10447309869
"95","06/12/2020","Roma","Sassuolo",0.5,1760.29313500768,1661.84958267491
"96","06/12/2020","Crotone","Napoli",0,1463.68431068855,1777.68644898675
"97","06/12/2020","Sampdoria","Milan",0,1588.63527919276,1800.51049770203
"98","07/12/2020","Fiorentina","Genoa",0.5,1609.96391058895,1518.0093948543
"99","11/12/2020","Sassuolo","Benevento",1,1664.60954834898,1562.44634888298
"100","12/12/2020","Crotone","Spezia",1,1460.86560054197,1512.92437016637
"101","12/12/2020","Torino","Udinese",0,1558.19611199558,1587.47704360037
"102","12/12/2020","Lazio","Verona",0,1722.99656280751,1583.17635091872
"103","13/12/2020","Cagliari","Inter",0,1582.99265302136,1841.33934893077
"104","13/12/2020","Atalanta","Fiorentina",1,1790.15736879105,1607.37736116088
"105","13/12/2020","Bologna","Roma",0,1582.0417577683,1757.53316933361
"106","13/12/2020","Napoli","Sampdoria",1,1780.50515913333,1584.07532452805
"107","13/12/2020","Genoa","Juventus",0,1520.59594428237,1822.97431390564
"108","13/12/2020","Milan","Parma",0.5,1805.07045236675,1573.64520951541
"109","15/12/2020","Udinese","Crotone",0.5,1596.63626030069,1472.35285876694
"110","15/12/2020","Benevento","Lazio",0.5,1555.30492426254,1709.17625836723
"111","16/12/2020","Juventus","Atalanta",0.5,1825.9589729833,1795.33355535839
"112","16/12/2020","Fiorentina","Sassuolo",0.5,1602.20117459354,1671.75097296942
"113","16/12/2020","Genoa","Milan",0.5,1517.61128520471,1799.24639665567
"114","16/12/2020","Inter","Napoli",1,1845.0263070983,1785.3856466086
"115","16/12/2020","Parma","Cagliari",0.5,1579.46926522649,1579.30569485383
"116","16/12/2020","Spezia","Bologna",0.5,1501.4371119414,1576.70298176162
"117","16/12/2020","Verona","Sampdoria",0,1596.996655359,1579.19483705277
"118","17/12/2020","Roma","Torino",1,1762.87194534029,1549.03689529527
"119","19/12/2020","Fiorentina","Verona",0.5,1604.17666156322,1586.48472575319
"120","19/12/2020","Sampdoria","Crotone",1,1589.70676665858,1475.78486856644
"121","19/12/2020","Parma","Juventus",0,1579.46455729307,1825.07977851298
"122","20/12/2020","Torino","Bologna",0.5,1544.51653361974,1574.56991992457
"123","20/12/2020","Benevento","Genoa",1,1559.46519015847,1524.31055706077
"124","20/12/2020","Cagliari","Udinese",0.5,1579.31040278725,1593.20425050119
"125","20/12/2020","Inter","Spezia",1,1853.32637550049,1503.57017377844
"126","20/12/2020","Sassuolo","Milan",0,1669.77548599974,1792.54712479961
"127","20/12/2020","Atalanta","Roma",1,1796.21274982872,1767.39230701582
"128","20/12/2020","Lazio","Napoli",1,1705.0159924713,1777.08557820641
"129","22/12/2020","Crotone","Parma",1,1468.95113653818,1575.55208514633
"130","22/12/2020","Juventus","Fiorentina",0,1828.99225065972,1603.66788639237
"131","23/12/2020","Verona","Inter",0,1586.99350092404,1855.68252510363
"132","23/12/2020","Bologna","Atalanta",0.5,1573.70706492268,1805.38512822662
"133","23/12/2020","Milan","Lazio",1,1799.15355904903,1717.06107348599
"134","23/12/2020","Napoli","Torino",0.5,1765.04049719172,1545.37938862163
"135","23/12/2020","Roma","Cagliari",1,1758.21992861791,1579.71008683769
"136","23/12/2020","Sampdoria","Sassuolo",0,1596.54049868684,1663.16905175032
"137","23/12/2020","Spezia","Genoa",0,1501.21402417531,1515.31894976441
"138","23/12/2020","Udinese","Benevento",0,1592.80456645075,1568.45679745483
"139","03/01/2021","Inter","Crotone",1,1859.19379790441,1481.92657028493
"140","03/01/2021","Atalanta","Sassuolo",1,1799.55626604469,1671.2744962282
"141","03/01/2021","Cagliari","Napoli",0,1574.43903641242,1759.44460113672
"142","03/01/2021","Fiorentina","Bologna",0.5,1619.37471991175,1579.53592710462
"143","03/01/2021","Genoa","Lazio",0.5,1524.91320025754,1709.38087442291
"144","03/01/2021","Parma","Torino",0,1562.57665139958,1550.97528467663
"145","03/01/2021","Roma","Sampdoria",1,1763.49097904318,1588.43505420896
"146","03/01/2021","Spezia","Verona",0,1491.61977368218,1583.48222812325
"147","03/01/2021","Benevento","Milan",0,1579.15643764335,1806.83375811211
"148","03/01/2021","Juventus","Udinese",1,1813.28541714034,1582.10492626223
"149","06/01/2021","Cagliari","Benevento",0,1569.31184898895,1574.90876201207
